"  校門口
,# 550,Oh!,5.8,運攀 | Sport,21 m,,,,●●●,共用,共用,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,8,已拉測,2025 / 09 / 05 (週五),"[Pulltest]20250809部分測試共6顆 (Michael、Eva)
Bolt安裝日期待查 (預設為1月1日)
拉測機遺失一顆萬向腳，中斷拉測，B04和B03尚未拉測，可排下個月補拉這兩顆。
[Pulltest]20250905完成補拉測的的2顆 (Nancy、小虎)"
,,,,,,,,,,,,2006,2006,2006,2006,2006,2006,,,,,,,,,,,2006,2006,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,19 年,19 年,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,,,,,2025 / 08 / 09,2025 / 08 / 09,2025 / 08 / 09,2025 / 08 / 09,,,,,,,,,,,2025 / 08 / 09,2025 / 08 / 09,5 年,5 年,,,,
,,,,,,,,,,,,2025 / 09 / 05,2025 / 09 / 05,,,,,,,,,,,,,,,,,,,,,,
,# 551,"虎牙
Tiger’s Tooth",5.11b,運攀 | Sport,11 m,"朴來慶
Yum Yum",,《RCT》書中路線圖起攀位置有誤,●●●,Ti-TW,Ti-TW,316-TW,Ti-TW,Ti-TW,Ti-TW,,,,,,,,,,,,,Ti-U,Ti-U,羊角-Ti,,8,已拉測,,"[Pulltest]20210314全線測試,bolt已清點(小嵐)
2006 Bolt安裝日期待查 (預設為1月1日)
2016 Anchor的Ti-TW Bolt安裝日期待查 (預設為1月1日)
[Pulltest]20250905全線拉測唯一顆316完成 (Nancy、小虎)"
,,,,,,,,,,2017 / 04 / 25,2017 / 04 / 25,2006,2017 / 04 / 25,2017 / 04 / 25,2017 / 04 / 25,,,,,,,,,,,,,2016,2016,數量 x2 ,,,,,
,,,,,,,,,,8 年,8 年,19 年,8 年,8 年,8 年,,,,,,,,,,,,,9 年,9 年,2016 / 01 / 01,,,,,
,,,,,,,,,,,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,,,,,,,,,,,,,2021 / 03 / 14,2021 / 03 / 14,9 年,,,,,
,,,,,,,,,,,,2025 / 09 / 05,,,,,,,,,,,,,,,,,,,,,,,
,# 552,"出乎意料
Surprise Crack",5.10b,傳攀 | Trad,21 m,"美國岩友
Unknown U.S. Climber",1990年代,首攀者在得知此路線尚無人完攀時感到意外，因而將其命名為 <出乎意料>,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,2,已更新,,Anchor的U形鈦Bolt安裝日期待查 (預設為1月1日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 553,"樓梯
Staircase",5.4,傳攀 | Trad,21 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-FX,316-FX,梅隆鎖-316,垂降環-316,2,已拉測,2020 / 11 / 20 (週五),"[Pulltest]20201120全線測試,bolt已清點(阿明 小虎)
2011 Anchor Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 11 / 20,2020 / 11 / 20,5 年,5 年,,,,
,# 554,"迎風角
Sea Arête",5.5,傳攀 | Trad,24 m,,,與 <樓梯> 共用Top Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 555,"迎風面左
Seaface Left",5.6,傳攀 | Trad,24 m,,,與 <樓梯> 共用Top Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
